user_name,user_loc,comment_text
Sweet Cherry Pie, London,There will be plenty of hangers on who will lend a hand. The RF s a business and its too rich to go under
Mary Pollo, East Kilbride,Oh give it a rest DM 
richard, worcester,Perhaps the king is a closet republican.
romft, wells,"Lets be honest, it is Charles and Mrs Parker Bowles who have brought the monarchy into ill repute with their tawdry behaviour over the past 30 years, and who will ever forget the infantile conversation of him wanting to be her t a m pax,just vile."
romft, wells,a spoilt little boy no less.
unfree777, Newcastle,"don't recall any serious movement in France, Germany or Italy calling for the return of their monarchy. Let's vote! And while we are at it, if the Scottish can vote for independence, why can't the English."
Violet, Peak District,"When George becomes King he'll have his sister and brother as well as his spouse and their spouses, they could all have children old enough to join the firm too. "
WarandPeace, Toronto,Let's get real here. The 'work' they do is really just advertising themselves at public events. It's not hard work and they could stop at any time they want - and not receive their generous funds from public taxpayers.
Capt Sisko, Shropshire,"The Queen, Edinburgh both did public duties into their nineties. Charles & Anne are into their 70s and I expect they will continue to perform royal until they're to infirm to do so. At what age are you going to retire. 65. Hypocrite!"
vinca, Massachusetts,"Here's an oxymoron, ""working royal""."
No bodies fool, Borderland,Getting really fed up with the whole circus now. Give it a rest!
Deirdre, Dublin,"George will bring Harry, Meghan, Archie and Lili back."
RabD, Glasgow,Country cannot afford to support a bloated family whose members have freeloaded on the connections and titles for years.Charles should insist no more hereditary titles to be passed on.You become plain Mr orMrs after the present holder goes
Scottish Snowflake., Colony In The North.,Burnt out. You make it sound like they work for a living. 
Happily retired, Killarney,Maybe he will ask Archie and Lilibet to help! Smile!
Ava Gardner, London,Charles could rethink his part in the decision that Beatrice and Eugenie were not to be included in working royals. 
ramblemania, Wakefield,"Charles is a weak, vain, selfish ninny who can't keep his nose out of politics.He was pathetically jealous of his first wife's popularity and he was a rubbish husband. If the royal family want to become cheerleaders for Net Zero and all in favour of their subjects having a poorer, colder, worse life then let's have a Republic, because none of us need more elitists telling us to eat locust burgers whilst tucking into red wine and steaks themselves!"
Dianaismyqueen, London,Totally agree! BTW Charlie wants to be last reign of this country it is only way he will be remembered in history. Diana will always be missed and loved and greater of all. When I see his tantrums I think poor Diana Camilla does not pay attention to his tantrums in carriage and with pen as she is cold blooded!
RVXXXX, Santa Fe,What is the point of a slimmed down monarchy when the cost of this monarchy remains the same?
Dianaismyqueen, London,if he had low key coronation he would have money to pay then ahahah
TinaTinaTina, Somewhere or other,Very few of us believe that George will ever be king. Hopefully the monarchy will be gone by then.
Dianaismyqueen, London,it is disputable even for William
BarryPrince, Windsor,"The Fr0gs had the right idea on how to deal with their monarchy once for all, but now they've  ended up with Macaron Napoleon IV, a pipsqueak who thinks he's the emperor of F rance. Was it worth it?"
Happily retired, Killarney,You Brits always love to put down men who are short! 
Upamountain, Geneva,And has the lack of a monarchy solved any of the problems?
Orion25, New York,"All supposition, You cant predict who what and when. For goodness sake , go spout your rubbish somewhere else."
unfree777, Newcastle,"If the English were given the chance to vote we would choose independence, for sure, and quite probably a republic. But our 'democracy' won't allow us the opportunity."
Galla Placidia, Atlanta,Your independence?  Isn't the UK a sovereign nation?  
unfree777, Newcastle,"so Scotland can, but England can't?"
Royal Lies, Buckingham Theatre,"The Royals are banking on the majority of the public not believing the people who know the truth about them. It won't last long. The old 'the bigger the lie the more they will believe it,' tactic just won't work for you anymore I'm afraid. "
Only Sycophants, Are Published,That's the thing - you can't even say hard facts (considered detrimental) about them in the Mail. 
Royal Lies, Buckingham Theatre,There's a big reason for that.
Bobbyripandroar, Miami,It will be a very long time before 9 year old George takes over if the monarchy is even still there.
TMMuir, Malaga,"All supposition, You cant predict who what and when. For goodness sake , go spout your rubbish somewhere else.

"
warose, Sydney,"What a silly way of putting those numbers together, after the King and queen it should have gone in a straight line."
lallala, new york,George has his great aunts and uncles and their children plus his siblings. The monarchy has survived for thousands of years don't you worry lol
couldntcare, upper ducks bottom,When the Kent's and the Gloucesters are too old just bring in Eugenie and Beatrice. Simples
Cottage Cat, Colchester,"These blood princesses don't get on with Kate after she walked past them with her nose in the air, and giggled behind her hand about them to her equally-calculating sister "
Rocinante_Frigate, Chelmsford,Burnt out??? They're hardly working long shifts in an Amazon warehouse!
Freya., Little Britain ,"I agree, it's been slimmed down too much!
The BRF will need more working royals even before Prince George ascends the throne. Charles has a 2 siblings, his son , daughter in-law and relatives to add to his mix of a slimmed down monarchy. Don't mean to be rude but most of them are very old.
William has now no sibling or cousins in the line up as working royals to be. I foresee the Cambridges needing more working royals to help before George even starts uni. Can't rely on his siblings, they  may grow up to live lives outside royal duty. "
Royal Lies, Buckingham Theatre,"One day, hopefully in yours and my lifetime, the world will know the depth of the lies from these people. It is truly shocking, trust me."
Royal Lies, Buckingham Theatre,Unfortunately people can't reveal the truth for fear for their lives. 
Royal Lies, Buckingham Theatre,"By the way, interesting that you are from New York."
Geldsman, Halifax,By the time George's turn comes around the British monarchy should hopefully be in its final death throes.
Cottage Cat, Colchester,"Exactly. Nobody wants to see smug, calculating Carole waltzing about and pushing William around."
Russiamom, Texaa,"Use Zara, Beatrice, Eugenia and also Louise and James after they graduate from college."
Ready for Hols, Warrington,They all look clapped out to me.  Get rid
Wee Annie, Cockermouth,More rubbish from as so called Royal journalist.
Francis Burke, San Francisco,"Ask yourself, what sort of people actually like to play dress up like this?"
MWblue, Lost in the Wind,"Right now, in Spain, there are only 3 members of the Royal Family who work for the monarchy: King Felipe, Queen Letizia and Queen Sofia."
dwarf slaughter, midgetville,I think they could die out with the Boomers 
JohnBullEngland, BroadSunlitUplandsWITHunicorns,The Good News just keeps on coming ...
Banjo Bill, Ripley,They didn't look in jeapardy
Calmlyy, None,"Do not blame Harry and Megan, the monarchy is NOT FLEXIBLE FOR MODERN TIMES.  EUGINIE, BEATRICE, HARRY AND MEGAN, even Zara and Peter, could and should be given part time working royal roles. The monarchy is the one that wont do it.  So they have old people, who no one really cares about seeing. The firm is not very bright when it comes to selling themselves.  "
Weynetta, The Seventies,"Don't forget Edwards 2! I expect Charles has at least 20 years, then Will's kids will be well old enough to serve. And if Harry's kids want to go back to The Firm, what's to stop them?"
couldntcare, upper ducks bottom,"There is constant public criticism about there being too many of them, not who they are or how old"
Dev971, Notts,"Supporters are always saying Camilla was Charlies one true love. If that's so, would you not want to have a child with you're ""one true love""? I would bet that Camillas children are actually Charlie's children. They were having an affair with each other throughout their marriages. AP Bowles was obviously just their wingman (he was invited to the coronation). Don't be surprised when Charlie starts dishing out titles, lordships etc etc to all his real ""family"" soon. I'm sure they will help out too, they already did so at the coronation."
Charming Charlotte, Oxford,"Look at a photo of Camilla's children, particularly her son, next to her ex husband. They look exactly alike. No doubt in my mind that APB is their father."
Only Sycophants, Are Published,Depends what you define as an affair? Charles was unmarried when Camilla wed and had her children. 
Mrs. Baggins, The Shire,Purrrr-lease. Eye roll.
Stephanie, Los Angeles,It's amazing how much George looks more and more like Kate the older he gets. All three children were beautifully behaved and looked adorable.
Patrickh, Nuneaton,RUBBISH.
average american, Pittsburg,To do WHAT exactly ? The term working royal is surely made in jest? They will also have fewer duties as more Commonwealth countries realize they don't want them
Alberto Semifreddo, Leeds,"Bring in the Tindalls! Both Zara and Mike are personalities who pop, and they bring the SQ (Stuffiness Quotient) down 30 points. They would be a tremendous asset."
Mrs. Baggins, The Shire,Except for the part where they are not royals.
Kathrynmarie, Tamworth,"What a load of tosh! Plenty of younger royals available that I am sure would help if they are paid a salary, Beatrice, Eugenie, princess Anne's kids or they just do fewer engagements and, Charlotte, George and Louis will come of age and be supported by William and Catherine."
michaela4m, trenton,"HOW STUPID IS IT TO HAVE A MONARCHY!!  HOPEFULLY IN THE NEAR FUTURE THIS OUTDATED C**P WILL BE GONE FOR GOOD.  I COULDN""T STOP LAUGHING AT ALL THEM PLAYING DRESS UP AND CARRIAGE RIDES THE PAST WEEKEND."
Mistyfields, Plymouth,"William and Kate have had such an easy ride so far, it's about time they did something more meaningful. They certainly don't seem to have a passion for anything."
Cottage Cat, Colchester,"They have a ""passion"" for any passing, popular bandwagon. "
Fru-T-Bunn, Blighty,"They appear to have a passion for their royal residences, helicopters, chauffeur driven limos, an army of fawning servants, unlimited designer wardrobes - the list is endless."
Pat57, Exeter,Only a DM journalist could write an article that ignores the fact that Prince George has two siblings and that by the time he becomes King it's likely that not only will they all be adults but may well have children of their own.
toriat, Wheaton,What makes anyone think they will want to make a job of supporting King George.
FLOTUS, London,Charles is the last king.
Cottage Cat, Colchester,"Hopefully. Not looking forward to the Goldsmith-Middleton-Windsor grifters. At least Gary's keeping his mouth shut, his nose clean and his fists to himself "
ZeZe, Glasgow,It won't last that long
JEODB, Oostende,"... 'leaving Kate and William to do it all,'... What exactly???"
